Model,MSE,MAE,R2
Linear Regression,1754318687330.6694,970043.4039201644,0.6529242642153172
Random Forest,1955121145497.645,1018008.5122324158,0.6131973540370301
Gradient Boosting,1690476864724.3477,967905.1313324224,0.6655547786793907
